留言,公司名稱1,標的號碼1,公司名稱2,標的號碼2,公司名稱3,標的號碼3,,
我就問一句 愛之味追高被套 你敢講給別人聽嘛?,愛之味,1217,,,,,,
營邦怎麼一臉要跳水了XD,營邦,3088,,,,,,
刀碩黑手會不會拉回平盤,,,,,,,,
我的持股看起來像今天跌了百點似的......,,,,,,,,
長榮 噴出,長榮,2603,,,,,,
主力出金金權值跟大哥 跑去玩別的 等題材,,,,,,,,
年初買材料，直接躺著數錢,材料,4763,,,,,,
早知道昨天大學換兩張材料就好惹 可惜,材料,4763,,,,,,
阿頂能不能頂起來QQ,,,,,,,,
遠百 就說吧 融資砍 就是投信外資收走 等等平盤,遠百,2903,,,,,,
姨丈發瘋了,威盛,2388,,,,,,
融資增加一堆，是出的掉嗎,,,,,,,,
拉尾盤嗎?,,,,,,,,
姨丈,威盛,2388,,,,,,
材料六個月從300到1089,材料,4763,,,,,,
廣達好廢,廣達,2382,,,,,,
威盛起笑,威盛,2388,,,,,,
賣方怎麼突然3、5千張,,,,,,,,
2344 說好的33呢,華邦電,2344,,,,,,
力特真的蠻哭的,力特,6706,,,,,,
好死魚,,,,,,,,
嘻嘻https://i.imgur.com/1jvCbNn.jpg,,,,,,,,
國泰隔日沖跟程式單賣散戶買,國泰金,2882,,,,,,
廣達紅潮來了 243.5!,廣達,2382,,,,,,
大聚陽噴一下,聚陽,1476,,,,,,
威盛仨小…,威盛,2388,,,,,,
每天都這種無量爛死魚盤,,,,,,,,
威盛沃草,威盛,2388,,,,,,
股市投資人真的過度自信,,,,,,,,
姨丈 好累 我休息一下,威盛,2388,,,,,,
黑手聽話乖乖拉尾盤收紅,,,,,,,,
科嶠還沒噴之前持有過沒耐心就出了QQ,科嶠,8069,,,,,,
台GG有夠慘,台積電,2330,,,,,,
https://i.imgur.com/0X92puf.jpg,,,,,,,,
姨丈是不是又有好消息? 發瘋==,威盛,2388,,,,,,
哇靠技嘉,技嘉,2376,,,,,,
萬七 瑞昱 帝王蟹,瑞昱,2379,,,,,,
小英今天這麼兇猛喔,英業達,2356,,,,,,
威盛瓦操,威盛,2388,,,,,,
https://i.imgur.com/mciCBwq.jpg,,,,,,,,
長榮這不就來了..嘻嘻,長榮,2603,,,,,,
材料真的兇,材料,4763,,,,,,
沒量可以殺國泰到46以下嗎 45以下更好,國泰金,2882,,,,,,
長榮在次挑戰今年高點big,長榮,2603,,,,,,
沒事買台積幹嘛笑死,台積電,2330,,,,,,
電鍋掘砂,,,,,,,,
威盛昨天吃了阿姨嗎,威盛,2388,,,,,,
阿姨開拉我不想努力了,宏達電,2498,,,,,,
IC噴好幾天了散戶才在討論,,,,,,,,
長榮再次挑戰今年高點 嘻嘻,長榮,2603,,,,,,
昨天國泰吊人線 該崩了吧,國泰金,2882,,,,,,
拉兇一點 明天直接跳空過線啊,,,,,,,,
我的美債正二 存到反一話,,,,,,,,
光學股噴出預備,,,,,,,,
緯創應該是收113.5,緯創,3231,,,,,,
材料昨天還洗到出汁,材料,4763,,,,,,
威盛應該都有內線，有幾個內資都提前拉,威盛,2388,,,,,,
漢平好嗨喔，去童鞋會看好像是有詐騙集團進攻XD,漢平,3224,,,,,,
高端有夠鬼,高端疫苗,6547,,,,,,
尾盤啦 大家今天都有賺到錢錢了嗎？ @v@b,,,,,,,,
3264終於洗完了？,欣銓,3264,,,,,,
GG九月不是有除息行情 怎麼,台積電,2330,,,,,,
https://i.imgur.com/UcW1V2C.jpg,,,,,,,,
螃蟹爬阿爬,瑞昱,2379,,,,,,
https://i.imgur.com/BDugdzy.jpg,,,,,,,,
再給我25分鐘 就要賺到便當錢了,,,,,,,,
控盤大師,,,,,,,,
力特玩啥XD甩人嗎,力特,6706,,,,,,
拉尾盤了,,,,,,,,
廣達來了 大紅潮!,廣達,2382,,,,,,
量縮成這樣,,,,,,,,
愛普笑死XD,愛普,6531,,,,,,
阿姨宇宙夢都沒有一個成形,宏達電,2498,,,,,,
愛普這黑K,愛普,6531,,,,,,
緯創死守112？,緯創,3231,,,,,,
2X穩穩抱不好嗎 靜靜的看大家搶股票,,,,,,,,
https://i.imgur.com/3S7Eg0z.jpg,,,,,,,,
姨丈 建達全達今天都猛猛的,威盛,2388,建達,6118,全達,8068,,
https://i.imgur.com/tM58e9B.jpg,,,,,,,,
齁 112出大量,,,,,,,,
緯創守幾天112了,緯創,3231,,,,,,
這兩天被進攻的量在月K上蠻漂亮的，就看這個月能收,,,,,,,,
國泰 GG這程式賣壓 沒買盤 應該拉不到哪去,國泰金,2882,,,,,,
GG這個量 超窒息,台積電,2330,,,,,,
fj想請問一下漢神是哪支,,,,,,,,
今天不一樣,,,,,,,,
多少了，還要除息,,,,,,,,
波若威笑死 拉到100可以回月線了,波若威,3163,,,,,,
華孚掰,華孚,6235,,,,,,
要噴惹啦,,,,,,,,
3715不翻黑是吧 來補一補,定穎,3715,,,,,,
緯穎拼股王,緯穎,6669,,,,,,
力特！又翻紅,力特,6706,,,,,,
GG只能等營收還他公道了,台積電,2330,,,,,,
光寶 量增 沒上MA5 是不是超爛XD?,光寶科,2301,,,,,,
力特今天甩尾嗎,力特,6706,,,,,,
台積電金融股，扛大盤跌幅。,台積電,2330,,,,,,
1439啊...轉投資漢神百貨 爸爸送女兒練功的公司,中和,1439,,,,,,
力特真的有夠哭,力特,6706,,,,,,
幸運小恩 https://i.imgur.com/xX0mAxM.jpg,,,,,,,,
拉高再殺,,,,,,,,
廣達今天到現在才2.2W張交易量 超慘...,廣達,2382,,,,,,
姨丈概念股 兩個紅燈 建達全達,威盛,2388,建達,6118,全達,8068,,
尾盤要拉出量了,,,,,,,,
我阿姨說她今天200張929幹進去了......,,,,,,,,
"死魚盤,股板還能有4500人",,,,,,,,
阿姨還缺白臉嗎,宏達電,2498,,,,,,
盜圖仔詐騙群組又來了喔?,,,,,,,,
墮牛寺！,,,,,,,,
GG沒動也好 中小該補漲的快漲一漲,台積電,2330,,,,,,
https://i.imgur.com/5Cv1ojJ.jpg,,,,,,,,
唉 認輸了 掛243.5賣 賠點手續費就好,,,,,,,,
一般人 看到這種量就沒興趣了吧...最近倒有人收籌碼,,,,,,,,
O大來買長榮或可成 價值投資很送分,長榮,2603,,,,,,
牛寺是仙人指路還是高十字星0？,,,,,,,,
今天持股超噴的啦 讚啦,,,,,,,,
牛寺可可?,,,,,,,,
你攻擊別人詐騙群是要幹嘛= =,,,,,,,,
碩天在拉什麼啊 誇張,碩天,3617,,,,,,
一來盤中又看到洽隆賺爛QQ,洽隆,2545,,,,,,
建達出奇蛋,建達,6118,,,,,,
世新最近在爛什麼的,世新,3665,,,,,,
YU還有護航粉 世界奇觀,,,,,,,,
星拳的上方到底哪來都這麼多賣單......,,,,,,,,
力牛寺 牛寺！ 好割,,,,,,,,
1439跟著FJ深敦好久最近終於往上,中和,1439,,,,,,
重量級老蘇,,,,,,,,
我又沒說誰 盜圖詐騙群組在FB LINE PTT很多啊,,,,,,,,
一天+17w 超開心啊 哈,,,,,,,,
爸爸若想把1439股權完全吃下 也是很容易的...,中和,1439,,,,,,
洽隆賺爛了,洽隆,2545,,,,,,
投資詐騙群組 要大家認賠出清？,,,,,,,,
"929不就那個誰在提的嗎,懂的就懂",,,,,,,,
1439師傅講很久 終於動了XD,中和,1439,,,,,,
878跟著ai死魚,,,,,,,,
高端突然起來了,高端疫苗,6547,,,,,,
我是說漢平,漢平,3224,,,,,,
信徒都賺錢了,,,,,,,,
愛普笑死,愛普,6531,,,,,,
高端會不會太狠,高端疫苗,6547,,,,,,
老蘇也太胖了吧= =,,,,,,,,
泰銘沒有超導體還是漲回去 猛,泰銘,3064,,,,,,
演夠了 開拉了吧,,,,,,,,
緯創一直賣就是下不去好猛,緯創,3231,,,,,,
老蘇這樣飛行皮衣還穿的下嗎,,,,,,,,
好像是，說是喊到目標價60跟80XD,,,,,,,,
愛普的主力一如既往的狠,愛普,6531,,,,,,
高端線性好屌,高端疫苗,6547,,,,,,
百葉窗永豐金丟完了沒啦,永豐金,2890,,,,,,
偉詮電蝦毀,偉詮電,2436,,,,,,
原本以為是除息前的自營大戶節稅對敲，結果自營沒動,,,,,,,,
高端快進場,高端疫苗,6547,,,,,,
偉詮電？起風了,偉詮電,2436,,,,,,
作XD,,,,,,,,
在什麼樣的尾盤裡，嘎呀嘎呀嘎～,,,,,,,,
終於快除息了，9/13等超久,,,,,,,,
偉詮幹大事,偉詮電,2436,,,,,,
大盤想紅?,,,,,,,,
偉詮電大戶，誰肥手指去按到？,偉詮電,2436,,,,,,
GG要拉回平盤了,台積電,2330,,,,,,
控盤大師調整指數中,,,,,,,,
緯穎拼股王,緯穎,6669,,,,,,
永崴一路向上，有點難追...,永崴,3528,,,,,,
二哥加油慢慢爬,,,,,,,,
GG大單  真有錢@@,台積電,2330,,,,,,
https://i.imgur.com/WZHrMoz.jpg,,,,,,,,
味全店回百元,味全,1201,,,,,,
老蘇的訊號來了,,,,,,,,
百葉窗就天天倒... 中部分點 也縮手了,,,,,,,,
台股真有錢，一直拉,,,,,,,,
大盤要翻紅了,,,,,,,,
GG在騙啦昨天演給你看了,台積電,2330,,,,,,
VVVVVVVVVVVVVVVVV,,,,,,,,
水龍頭凱北賣爽了沒啦,,,,,,,,
最近中小都賺翻 農經也填息了真棒,農經,4137,,,,,,
欸不是 二哥你怎麼偷跑R,,,,,,,,
真有人不知道會拉尾盤？,,,,,,,,
大盤要紅了？,,,,,,,,
感謝高端,高端疫苗,6547,,,,,,
黑手要與不要而已 gg還沒出力,台積電,2330,,,,,,
威盛好像營收非常好!,威盛,2388,,,,,,
拉g惹,,,,,,,,
才兩千一 丸子 最後逃命波,,,,,,,,
要翻紅了嗎?,,,,,,,,
智易152打王!,智易,3596,,,,,,
又開始拉台積電了XD,台積電,2330,,,,,,
億豐 能接嗎,億豐,5321,,,,,,
GG最後30秒拉尾盤也不奇怪,台積電,2330,,,,,,
拉g一時爽,台積電,2330,,,,,,
農經營收衝刺3億 馬上會超車南僑...XD,農經,4137,,,,,,
神教這都能翻紅,神教,3711,,,,,,
167都沒破 都控在黑手手中,,,,,,,,
出奇蛋 台燿 2個燈 舒服,建達,6118,台燿,6274,,,,
中租還會下去嗎 日友已經很慘惹,中租,5871,,,,,,
拉尾盤嗎,,,,,,,,
儘量拉^^反正隔天都會加倍倒^^,,,,,,,,
Q2便宜的庫存 開始貢獻了呢,,,,,,,,
我不相信華航只有這樣,華航,2610,,,,,,
威盛？,威盛,2388,,,,,,
收紅了吧,,,,,,,,
等9/13 +1 希望到時站穩40,,,,,,,,
929不給上了啦,,,,,,,,
這兩天佈局的 明天要收割了,,,,,,,,
GG在頂一下就紅了,台積電,2330,,,,,,
沒量方便上下其手,,,,,,,,
材料越不敢追 越噴0.0,材料,4743,,,,,,
沒有什麼詐騙群，只有貪嗔癡，別這麼貪就不是韭菜,,,,,,,,
要幹回平盤了 真猛,,,,,,,,
光寶科尾盤可以拉到五日線嗎！？,光寶科,2301,,,,,,
寶寶這個紅 在騙上車,,,,,,,,
技嘉要搶反彈嗎,技嘉,2376,,,,,,
沒量就是主力自己隨便畫線,,,,,,,,
929怎麼像老鼠會 廣告打的多嗎,,,,,,,,
國泰自營尾盤無情倒貨嗎,國泰,2882,,,,,,
糙 掛243.5 搞半天出不掉 認了掛243.0!,,,,,,,,
榮鋼偷拉哦,榮鋼,2027,,,,,,
99中磊 網通就他落後了QQ,中磊,5388,,,,,,
